,Station,Date ∇,Ave. T.(ºC),Max. T.(ºC),Min. T.(ºC),Prec.(mm),S.L.Press./Gheopot.,Wind dir,Wind sp.(Km/h),Cloud c.,Snow depth(cm),country
4063,BATTICALOA,12/07/2013,29.4,33.0,25.7,0.0,1006.7 Hpa,90º(E),2,2/8,,SRI LANKA
4064,KURUNEGALA,12/07/2013,27.4,30.8,24.1,0.0,1007.3 Hpa,231º(SW),8,5/8,,SRI LANKA
4065,KANDY,12/07/2013,24.4,26.8,22.1,0.8,1008.8 Hpa,258º(W),3,5/8,,SRI LANKA
4066,KATUNAYAKE,12/07/2013,-,26.8,- ,-,1009.3 Hpa,270º(W),14,2/8,,SRI LANKA
4067,COLOMBO,12/07/2013,28.2,30.4,26.0,Tr,1008.6 Hpa,232º(SW),8,4/8,,SRI LANKA
4068,RATMALANA,12/07/2013,28.6,31.0,26.1,0.0,1008.9 Hpa,245º(SW),11,3/8,,SRI LANKA
4069,NUWARA ELIYA,12/07/2013,14.9,16.3,13.5,1.5,1485 m(850 Hpa),275º(W),11,7/8,,SRI LANKA
4070,POTTUVIL,12/07/2013,28.6,32.9,24.4,0.0,1006.9 Hpa,215º(SW),4,2/8,,SRI LANKA
4071,BANDARAWELA,12/07/2013,21.1,24.6,17.6,0.0,1491 m(850 Hpa),295º(NW),18,3/8,,SRI LANKA
4072,BADULLA,12/07/2013,23.4,28.6,18.3,0.0,-,350º(N),2,5/8,,SRI LANKA
4073,RATNAPURA,12/07/2013,27.6,30.5,24.8,0.3,1009.1 Hpa,342º(N),6,6/8,,SRI LANKA
4074,GALLE,12/07/2013,26.9,28.1,25.6,0.8,1009.6 Hpa,295º(NW),18,5/8,,SRI LANKA
4075,HAMBANTOTA,12/07/2013,29.4,33.7,25.2,0.0,1007.1 Hpa,265º(W),16,3/8,,SRI LANKA
4076,KANKASANTURAI,13/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
4077,JAFFNA,13/07/2013,29.8,31.9,27.6,0.0,1006.7 Hpa,-,-,6/8,,SRI LANKA
4078,MULLAITTIVU,13/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
4079,MANNAR,13/07/2013,28.9,30.7,27.0,0.0,1006.9 Hpa,226º(SW),27,2/8,,SRI LANKA
4080,VAVUNIYA,13/07/2013,29.4,34.3,24.4,0.0,1007.4 Hpa,230º(SW),6,3/8,,SRI LANKA
4081,TRINCOMALEE,13/07/2013,29.6,34.3,25.0,0.0,-,222º(SW),14,5/8,,SRI LANKA
4082,ANURADHAPURA,13/07/2013,29.4,33.9,24.8,0.0,1007.7 Hpa,229º(SW),8,4/8,,SRI LANKA
4083,MAHA ILLUPPALLAMA,13/07/2013,28.7,32.7,24.7,0.0,1007.7 Hpa,230º(SW),10,5/8,,SRI LANKA
4084,PUTTALAM,13/07/2013,28.9,31.3,26.4,0.0,1007.5 Hpa,207º(SW),15,4/8,,SRI LANKA
4085,BATTICALOA,13/07/2013,29.6,32.8,26.4,0.0,1006.5 Hpa,96º(E),2,4/8,,SRI LANKA
4086,KURUNEGALA,13/07/2013,27.5,31.2,23.8,0.0,1008.3 Hpa,219º(SW),5,6/8,,SRI LANKA
4087,KANDY,13/07/2013,25.4,28.3,22.4,0.0,1008.9 Hpa,278º(W),3,5/8,,SRI LANKA
4088,KATUNAYAKE,13/07/2013,27.0,27.2,26.8,-,1007.9 Hpa,230º(SW),32,3/8,,SRI LANKA
4089,COLOMBO,13/07/2013,28.3,30.2,26.4,0.0,1008.8 Hpa,227º(SW),25,5/8,,SRI LANKA
4090,RATMALANA,13/07/2013,28.9,31.0,26.8,0.0,1009.1 Hpa,244º(SW),7,4/8,,SRI LANKA
4091,NUWARA ELIYA,13/07/2013,15.8,17.8,13.9,0.2,1500 m(850 Hpa),275º(W),15,5/8,,SRI LANKA
4092,POTTUVIL,13/07/2013,27.2,29.6,24.9,0.0,1007.0 Hpa,229º(SW),8,3/8,,SRI LANKA
4093,BANDARAWELA,13/07/2013,21.9,26.0,17.7,0.0,-,270º(W),18,3/8,,SRI LANKA
4094,BADULLA,13/07/2013,24.2,29.7,18.7,0.0,-,5º(N),4,5/8,,SRI LANKA
4095,RATNAPURA,13/07/2013,27.9,31.5,24.3,0.0,1009.2 Hpa,316º(NW),8,6/8,,SRI LANKA
4096,GALLE,13/07/2013,26.6,28.2,24.9,0.0,1009.5 Hpa,299º(NW),20,5/8,,SRI LANKA
4097,HAMBANTOTA,13/07/2013,29.6,33.8,25.4,0.0,1006.8 Hpa,237º(SW),18,5/8,,SRI LANKA
4098,KANKASANTURAI,14/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
4099,JAFFNA,14/07/2013,29.9,32.4,27.3,0.0,1005.9 Hpa,-,-,5/8,,SRI LANKA
4100,MULLAITTIVU,14/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
4101,MANNAR,14/07/2013,29.1,31.6,26.7,0.0,1006.4 Hpa,226º(SW),18,1/8,,SRI LANKA
4102,VAVUNIYA,14/07/2013,29.9,35.4,24.5,0.0,1006.6 Hpa,229º(SW),8,2/8,,SRI LANKA
4103,TRINCOMALEE,14/07/2013,30.0,34.5,25.5,0.0,-,221º(SW),11,6/8,,SRI LANKA
4104,ANURADHAPURA,14/07/2013,29.7,34.5,24.9,0.0,1006.9 Hpa,234º(SW),7,4/8,,SRI LANKA
4105,MAHA ILLUPPALLAMA,14/07/2013,28.9,33.0,24.9,0.0,1006.6 Hpa,230º(SW),14,4/8,,SRI LANKA
4106,PUTTALAM,14/07/2013,28.9,31.4,26.3,0.0,1006.7 Hpa,197º(S),13,5/8,,SRI LANKA
4107,BATTICALOA,14/07/2013,29.6,32.6,26.5,0.0,1005.9 Hpa,93º(E),4,4/8,,SRI LANKA
4108,KURUNEGALA,14/07/2013,27.9,31.3,24.6,0.0,1007.1 Hpa,209º(SW),7,4/8,,SRI LANKA
4109,KANDY,14/07/2013,25.8,29.2,22.3,2.0,1007.9 Hpa,270º(W),4,4/8,,SRI LANKA
4110,COLOMBO,14/07/2013,28.5,30.1,26.9,1.6,1008.0 Hpa,229º(SW),7,7/8,,SRI LANKA
4111,RATMALANA,14/07/2013,29.1,31.0,27.1,0.3,1008.3 Hpa,230º(SW),9,6/8,,SRI LANKA
4112,NUWARA ELIYA,14/07/2013,17.2,20.7,13.7,Tr,1477 m(850 Hpa),284º(W),6,5/8,,SRI LANKA
4113,POTTUVIL,14/07/2013,28.6,32.3,24.8,-,1006.5 Hpa,230º(SW),4,3/8,,SRI LANKA
4114,BANDARAWELA,14/07/2013,22.9,27.9,17.8,0.0,-,90º(E),12,5/8,,SRI LANKA
4115,BADULLA,14/07/2013,23.9,30.1,17.8,0.0,-,354º(N),5,5/8,,SRI LANKA
4116,RATNAPURA,14/07/2013,27.8,31.5,24.0,3.4,1008.6 Hpa,304º(NW),7,6/8,,SRI LANKA
4117,GALLE,14/07/2013,27.7,29.2,26.2,0.9,1008.9 Hpa,279º(W),16,7/8,,SRI LANKA
4118,HAMBANTOTA,14/07/2013,27.8,29.8,25.7,0.0,1006.6 Hpa,234º(SW),23,4/8,,SRI LANKA
4119,KANKASANTURAI,15/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
4120,JAFFNA,15/07/2013,29.2,31.0,27.4,Tr,1005.6 Hpa,-,-,8/8,,SRI LANKA
4121,MULLAITTIVU,15/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
4122,MANNAR,15/07/2013,28.8,30.9,26.7,0.0,1005.8 Hpa,220º(SW),28,5/8,,SRI LANKA
4123,VAVUNIYA,15/07/2013,29.9,34.7,25.1,0.0,1006.3 Hpa,245º(SW),12,4/8,,SRI LANKA
4124,TRINCOMALEE,15/07/2013,30.1,34.6,25.7,0.0,-,222º(SW),18,7/8,,SRI LANKA
4125,ANURADHAPURA,15/07/2013,29.6,33.7,25.4,Tr,1006.6 Hpa,238º(SW),11,6/8,,SRI LANKA
4126,MAHA ILLUPPALLAMA,15/07/2013,28.6,32.2,25.0,Tr,1006.7 Hpa,229º(SW),19,6/8,,SRI LANKA
4127,PUTTALAM,15/07/2013,28.6,31.0,26.3,0.0,1006.8 Hpa,211º(SW),20,7/8,,SRI LANKA
4128,BATTICALOA,15/07/2013,29.0,32.0,26.0,0.0,1005.5 Hpa,90º(E),3,2/8,,SRI LANKA
4129,KURUNEGALA,15/07/2013,28.0,31.1,24.9,1.9,1007.2 Hpa,226º(SW),9,7/8,,SRI LANKA
4130,KANDY,15/07/2013,24.9,27.1,22.7,2.6,1007.9 Hpa,281º(W),4,7/8,,SRI LANKA
4131,COLOMBO,15/07/2013,28.4,30.2,26.6,0.0,1008.1 Hpa,229º(SW),9,6/8,,SRI LANKA
4132,RATMALANA,15/07/2013,29.0,31.2,26.8,0.2,1008.0 Hpa,230º(SW),15,6/8,,SRI LANKA
4133,NUWARA ELIYA,15/07/2013,15.8,17.8,13.9,1.3,1476 m(850 Hpa),270º(W),20,7/8,,SRI LANKA
4134,POTTUVIL,15/07/2013,30.9,36.2,25.5,0.0,1005.6 Hpa,211º(SW),10,6/8,,SRI LANKA
4135,BANDARAWELA,15/07/2013,21.4,25.7,17.0,0.0,-,295º(NW),15,5/8,,SRI LANKA
4136,BADULLA,15/07/2013,23.2,28.4,18.0,2.8,-,27º(NE),5,5/8,,SRI LANKA
4137,RATNAPURA,15/07/2013,27.4,30.2,24.5,23.7,1007.4 Hpa,324º(NW),12,7/8,,SRI LANKA
4138,GALLE,15/07/2013,27.4,28.8,26.0,0.0,1008.7 Hpa,258º(W),15,6/8,,SRI LANKA
4139,HAMBANTOTA,15/07/2013,27.6,29.7,25.6,0.0,1007.2 Hpa,237º(SW),24,6/8,,SRI LANKA
4140,KANKASANTURAI,16/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
4141,JAFFNA,16/07/2013,29.0,30.4,27.6,0.0,1006.3 Hpa,-,-,8/8,,SRI LANKA
4142,MULLAITTIVU,16/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
4143,MANNAR,16/07/2013,28.4,29.9,26.8,0.0,1006.9 Hpa,229º(SW),31,6/8,,SRI LANKA
4144,VAVUNIYA,16/07/2013,28.6,31.1,26.2,0.0,1007.3 Hpa,248º(W),14,7/8,,SRI LANKA
4145,TRINCOMALEE,16/07/2013,28.9,31.5,26.2,0.0,-,237º(SW),19,8/8,,SRI LANKA
4146,ANURADHAPURA,16/07/2013,28.6,31.2,26.0,0.0,1007.4 Hpa,243º(SW),10,7/8,,SRI LANKA
4147,MAHA ILLUPPALLAMA,16/07/2013,27.6,30.0,25.2,Tr,1007.5 Hpa,222º(SW),11,7/8,,SRI LANKA
4148,PUTTALAM,16/07/2013,28.6,30.1,27.2,0.0,1007.7 Hpa,211º(SW),18,7/8,,SRI LANKA
4149,BATTICALOA,16/07/2013,29.1,32.0,26.3,0.0,1006.5 Hpa,92º(E),3,5/8,,SRI LANKA
4150,KURUNEGALA,16/07/2013,27.1,29.6,24.5,1.3,1008.0 Hpa,217º(SW),9,7/8,,SRI LANKA
4151,KANDY,16/07/2013,25.1,26.9,23.2,Tr,1008.9 Hpa,246º(SW),9,5/8,,SRI LANKA
4152,COLOMBO,16/07/2013,28.9,30.6,27.2,1.0,1009.2 Hpa,233º(SW),7,6/8,,SRI LANKA
4153,RATMALANA,16/07/2013,28.6,31.5,25.6,7.8,1009.2 Hpa,206º(SW),10,6/8,,SRI LANKA
4154,NUWARA ELIYA,16/07/2013,15.7,17.2,14.1,0.5,1483 m(850 Hpa),270º(W),27,7/8,,SRI LANKA
4155,POTTUVIL,16/07/2013,31.0,35.7,26.3,0.0,1006.7 Hpa,229º(SW),12,6/8,,SRI LANKA
4156,BANDARAWELA,16/07/2013,20.8,25.1,16.5,0.0,-,279º(W),20,7/8,,SRI LANKA
4157,BADULLA,16/07/2013,24.1,29.5,18.8,0.0,-,329º(NW),4,6/8,,SRI LANKA
4158,RATNAPURA,16/07/2013,26.9,30.1,23.7,7.4,1009.6 Hpa,322º(NW),8,7/8,,SRI LANKA
4159,GALLE,16/07/2013,27.2,28.8,25.6,11.9,1010.1 Hpa,264º(W),15,7/8,,SRI LANKA
4160,HAMBANTOTA,16/07/2013,27.9,29.5,26.2,Tr,1008.1 Hpa,262º(W),17,6/8,,SRI LANKA
4161,KANKASANTURAI,17/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
4162,JAFFNA,17/07/2013,29.0,30.9,27.1,Tr,1006.8 Hpa,-,-,7/8,,SRI LANKA
4163,MULLAITTIVU,17/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
4164,MANNAR,17/07/2013,28.3,29.9,26.7,0.0,1007.4 Hpa,227º(SW),36,7/8,,SRI LANKA
4165,VAVUNIYA,17/07/2013,28.4,31.4,25.5,0.0,1007.6 Hpa,232º(SW),15,5/8,,SRI LANKA
4166,TRINCOMALEE,17/07/2013,29.4,32.9,25.8,0.0,-,226º(SW),17,7/8,,SRI LANKA
4167,ANURADHAPURA,17/07/2013,29.1,32.9,25.3,0.0,1007.8 Hpa,229º(SW),12,5/8,,SRI LANKA
4168,MAHA ILLUPPALLAMA,17/07/2013,28.3,31.8,24.8,0.0,1007.8 Hpa,231º(SW),12,6/8,,SRI LANKA
4169,PUTTALAM,17/07/2013,28.6,30.8,26.3,0.0,1007.6 Hpa,201º(S),24,5/8,,SRI LANKA
4170,BATTICALOA,17/07/2013,29.9,33.5,26.2,0.0,1006.6 Hpa,83º(E),4,6/8,,SRI LANKA
4171,KURUNEGALA,17/07/2013,27.8,30.8,24.7,0.4,1008.1 Hpa,206º(SW),9,6/8,,SRI LANKA
4172,KANDY,17/07/2013,25.2,27.6,22.9,1.1,1008.8 Hpa,249º(W),6,6/8,,SRI LANKA
4173,COLOMBO,17/07/2013,27.9,30.6,25.2,20.4,1008.9 Hpa,218º(SW),7,7/8,,SRI LANKA
4174,RATMALANA,17/07/2013,28.4,31.6,25.2,22.4,1009.3 Hpa,200º(S),13,5/8,,SRI LANKA
4175,NUWARA ELIYA,17/07/2013,16.4,18.7,14.0,9.8,1485 m(850 Hpa),265º(W),18,7/8,,SRI LANKA
4176,POTTUVIL,17/07/2013,30.4,34.7,26.0,-,1007.2 Hpa,218º(SW),16,7/8,,SRI LANKA
4177,BANDARAWELA,17/07/2013,22.8,26.7,18.8,0.2,-,277º(W),31,7/8,,SRI LANKA
4178,BADULLA,17/07/2013,24.5,29.6,19.4,1.9,-,324º(NW),6,7/8,,SRI LANKA
4179,RATNAPURA,17/07/2013,27.4,30.7,24.2,18.5,1009.3 Hpa,329º(NW),3,7/8,,SRI LANKA
4180,GALLE,17/07/2013,26.4,28.9,23.9,4.6,1010.1 Hpa,241º(SW),12,7/8,,SRI LANKA
4181,HAMBANTOTA,17/07/2013,27.6,30.1,25.1,0.2,1008.3 Hpa,242º(SW),21,7/8,,SRI LANKA
4182,KANKASANTURAI,18/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
4183,JAFFNA,18/07/2013,29.2,31.0,27.4,0.0,1006.2 Hpa,-,-,8/8,,SRI LANKA
4184,MULLAITTIVU,18/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
4185,MANNAR,18/07/2013,28.2,30.2,26.2,0.0,1006.3 Hpa,226º(SW),25,5/8,,SRI LANKA
4186,VAVUNIYA,18/07/2013,29.4,33.6,25.1,0.0,1007.0 Hpa,250º(W),11,4/8,,SRI LANKA
4187,TRINCOMALEE,18/07/2013,29.9,34.1,25.7,Tr,-,242º(SW),15,6/8,,SRI LANKA
4188,ANURADHAPURA,18/07/2013,29.4,33.3,25.4,0.0,1006.9 Hpa,229º(SW),7,6/8,,SRI LANKA
4189,MAHA ILLUPPALLAMA,18/07/2013,28.3,32.1,24.5,0.0,1007.3 Hpa,243º(SW),10,5/8,,SRI LANKA
4190,PUTTALAM,18/07/2013,28.2,30.6,25.9,0.0,1007.0 Hpa,214º(SW),15,6/8,,SRI LANKA
4191,BATTICALOA,18/07/2013,30.7,35.8,25.6,0.0,1005.9 Hpa,250º(W),3,4/8,,SRI LANKA
4192,KURUNEGALA,18/07/2013,26.7,29.8,23.6,Tr,1008.0 Hpa,222º(SW),6,6/8,,SRI LANKA
4193,KANDY,18/07/2013,24.6,26.7,22.4,0.7,1008.4 Hpa,263º(W),4,6/8,,SRI LANKA
4194,COLOMBO,18/07/2013,26.4,28.9,24.0,23.1,1008.3 Hpa,215º(SW),3,7/8,,SRI LANKA
4195,RATMALANA,18/07/2013,25.9,28.5,23.2,29.9,1008.4 Hpa,197º(S),5,6/8,,SRI LANKA
4196,NUWARA ELIYA,18/07/2013,15.2,17.1,13.3,10.6,1478 m(850 Hpa),263º(W),12,8/8,,SRI LANKA
4197,POTTUVIL,18/07/2013,30.5,35.2,25.8,-,1006.4 Hpa,256º(W),6,6/8,,SRI LANKA
4198,BANDARAWELA,18/07/2013,20.9,24.8,17.1,Tr,-,289º(W),16,6/8,,SRI LANKA
4199,BADULLA,18/07/2013,23.1,27.7,18.5,0.1,-,65º(NE),3,7/8,,SRI LANKA
4200,RATNAPURA,18/07/2013,25.9,29.3,22.5,3.9,1009.0 Hpa,327º(NW),4,7/8,,SRI LANKA
4201,GALLE,18/07/2013,26.9,28.9,24.9,103.2,1009.1 Hpa,280º(W),14,6/8,,SRI LANKA
4202,HAMBANTOTA,18/07/2013,27.7,29.8,25.6,0.1,1007.4 Hpa,247º(SW),13,4/8,,SRI LANKA
4203,KANKASANTURAI,19/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
4204,JAFFNA,19/07/2013,29.4,31.1,27.8,0.0,1005.4 Hpa,-,-,8/8,,SRI LANKA
4205,MULLAITTIVU,19/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
4206,MANNAR,19/07/2013,28.6,30.6,26.6,0.0,1005.8 Hpa,229º(SW),28,7/8,,SRI LANKA
4207,VAVUNIYA,19/07/2013,29.4,33.6,25.3,0.0,1005.8 Hpa,222º(SW),10,5/8,,SRI LANKA
4208,TRINCOMALEE,19/07/2013,29.6,33.2,26.0,0.0,-,237º(SW),17,7/8,,SRI LANKA
4209,ANURADHAPURA,19/07/2013,29.2,33.2,25.3,0.0,1006.4 Hpa,229º(SW),10,6/8,,SRI LANKA
4210,MAHA ILLUPPALLAMA,19/07/2013,28.3,32.1,24.5,0.0,1006.5 Hpa,233º(SW),13,5/8,,SRI LANKA
4211,PUTTALAM,19/07/2013,29.0,31.5,26.5,0.0,1006.3 Hpa,226º(SW),16,7/8,,SRI LANKA
4212,BATTICALOA,19/07/2013,30.2,34.0,26.5,0.0,1005.4 Hpa,49º(NE),4,4/8,,SRI LANKA
4213,KURUNEGALA,19/07/2013,27.9,31.4,24.4,0.0,1007.0 Hpa,239º(SW),10,6/8,,SRI LANKA
4214,KANDY,19/07/2013,25.6,28.2,23.1,0.0,1007.9 Hpa,262º(W),3,5/8,,SRI LANKA
4215,COLOMBO,19/07/2013,27.4,30.1,24.7,4.8,1008.0 Hpa,221º(SW),6,6/8,,SRI LANKA
4216,RATMALANA,19/07/2013,27.6,31.7,23.6,2.0,1008.2 Hpa,202º(S),6,5/8,,SRI LANKA
4217,NUWARA ELIYA,19/07/2013,15.0,16.8,13.2,4.4,1475 m(850 Hpa),270º(W),20,7/8,,SRI LANKA
4218,POTTUVIL,19/07/2013,31.2,36.4,26.0,-,1005.4 Hpa,230º(SW),6,6/8,,SRI LANKA
4219,BANDARAWELA,19/07/2013,21.4,24.5,18.2,0.0,-,270º(W),18,5/8,,SRI LANKA
4220,BADULLA,19/07/2013,24.4,30.6,18.3,0.0,-,270º(W),8,4/8,,SRI LANKA
4221,RATNAPURA,19/07/2013,27.6,31.3,24.0,Tr,1008.5 Hpa,298º(NW),7,6/8,,SRI LANKA
4222,GALLE,19/07/2013,26.4,28.3,24.5,3.1,1008.7 Hpa,293º(NW),8,6/8,,SRI LANKA
4223,HAMBANTOTA,19/07/2013,27.6,30.1,25.0,0.3,1007.0 Hpa,242º(SW),13,5/8,,SRI LANKA
4224,KANKASANTURAI,20/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
4225,JAFFNA,20/07/2013,28.9,30.6,27.1,0.0,1006.5 Hpa,-,-,8/8,,SRI LANKA
4226,MULLAITTIVU,20/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
4227,MANNAR,20/07/2013,28.2,29.7,26.7,0.0,1006.7 Hpa,229º(SW),25,7/8,,SRI LANKA
4228,VAVUNIYA,20/07/2013,29.1,33.0,25.3,0.0,1007.3 Hpa,245º(SW),8,6/8,,SRI LANKA
4229,TRINCOMALEE,20/07/2013,29.1,32.0,26.2,0.0,-,237º(SW),15,8/8,,SRI LANKA
4230,ANURADHAPURA,20/07/2013,29.1,32.8,25.3,0.0,1007.4 Hpa,239º(SW),7,7/8,,SRI LANKA
4231,MAHA ILLUPPALLAMA,20/07/2013,28.6,31.9,25.3,0.0,1007.3 Hpa,250º(W),11,6/8,,SRI LANKA
4232,PUTTALAM,20/07/2013,29.1,31.4,26.7,0.0,1007.3 Hpa,211º(SW),17,6/8,,SRI LANKA
4233,BATTICALOA,20/07/2013,29.4,32.7,26.0,0.0,1006.4 Hpa,70º(E),3,6/8,,SRI LANKA
4234,KURUNEGALA,20/07/2013,28.3,31.8,24.8,0.0,1007.7 Hpa,210º(SW),8,6/8,,SRI LANKA
4235,KANDY,20/07/2013,25.6,28.5,22.7,1.2,1008.8 Hpa,275º(W),5,7/8,,SRI LANKA
4236,COLOMBO,20/07/2013,27.6,30.2,24.9,0.6,1008.8 Hpa,228º(SW),3,7/8,,SRI LANKA
4237,RATMALANA,20/07/2013,28.3,31.4,25.2,15.4,1009.0 Hpa,244º(SW),9,5/8,,SRI LANKA
4238,NUWARA ELIYA,20/07/2013,15.4,17.6,13.2,12.9,1484 m(850 Hpa),270º(W),17,8/8,,SRI LANKA
4239,POTTUVIL,20/07/2013,30.1,34.6,25.6,-,1006.4 Hpa,213º(SW),6,6/8,,SRI LANKA
4240,BANDARAWELA,20/07/2013,22.1,25.6,18.5,Tr,-,282º(W),21,6/8,,SRI LANKA
4241,BADULLA,20/07/2013,24.1,30.6,17.7,0.0,-,340º(N),2,7/8,,SRI LANKA
4242,RATNAPURA,20/07/2013,27.3,31.1,23.5,3.3,1009.2 Hpa,311º(NW),7,6/8,,SRI LANKA
4243,GALLE,20/07/2013,26.9,29.0,24.8,6.6,1009.4 Hpa,297º(NW),13,7/8,,SRI LANKA
4244,HAMBANTOTA,20/07/2013,27.8,30.2,25.4,Tr,1007.5 Hpa,234º(SW),13,5/8,,SRI LANKA
4245,KANKASANTURAI,21/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
4246,JAFFNA,21/07/2013,29.1,30.8,27.4,0.0,1005.7 Hpa,-,-,8/8,,SRI LANKA
4247,MULLAITTIVU,21/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
4248,MANNAR,21/07/2013,28.4,30.5,26.3,0.0,1005.9 Hpa,229º(SW),22,7/8,,SRI LANKA
4249,VAVUNIYA,21/07/2013,29.1,33.4,24.8,0.0,1006.4 Hpa,233º(SW),7,5/8,,SRI LANKA
4250,TRINCOMALEE,21/07/2013,29.2,33.5,25.0,0.0,-,239º(SW),14,7/8,,SRI LANKA
4251,ANURADHAPURA,21/07/2013,29.4,33.6,25.2,0.0,1006.4 Hpa,234º(SW),6,7/8,,SRI LANKA
4252,MAHA ILLUPPALLAMA,21/07/2013,28.6,32.5,24.6,0.0,1006.2 Hpa,236º(SW),11,7/8,,SRI LANKA
4253,PUTTALAM,21/07/2013,28.7,31.0,26.4,0.0,1006.5 Hpa,207º(SW),14,5/8,,SRI LANKA
4254,BATTICALOA,21/07/2013,31.1,35.5,26.6,0.0,1005.2 Hpa,295º(NW),2,7/8,,SRI LANKA
4255,KURUNEGALA,21/07/2013,28.2,31.8,24.6,0.1,1006.9 Hpa,208º(SW),6,6/8,,SRI LANKA
4256,KANDY,21/07/2013,25.4,28.1,22.8,Tr,1007.6 Hpa,257º(W),4,6/8,,SRI LANKA
4257,KATUNAYAKE,21/07/2013,27.2,28.2,26.3,-,1009.2 Hpa,230º(SW),4,3/8,,SRI LANKA
4258,COLOMBO,21/07/2013,27.9,30.0,25.8,2.2,1007.7 Hpa,260º(W),6,7/8,,SRI LANKA
4259,RATMALANA,21/07/2013,27.5,30.7,24.3,8.5,1008.0 Hpa,254º(W),7,5/8,,SRI LANKA
4260,NUWARA ELIYA,21/07/2013,15.6,17.5,13.7,0.5,1473 m(850 Hpa),265º(W),21,8/8,,SRI LANKA
4261,POTTUVIL,21/07/2013,31.6,32.8,30.4,-,1005.2 Hpa,185º(S),4,4/8,,SRI LANKA
4262,BANDARAWELA,21/07/2013,22.3,25.6,19.0,0.0,-,260º(W),19,6/8,,SRI LANKA
4263,BADULLA,21/07/2013,24.8,29.7,19.8,Tr,-,330º(NW),3,6/8,,SRI LANKA
4264,RATNAPURA,21/07/2013,27.2,30.8,23.7,1.2,1008.3 Hpa,318º(NW),6,7/8,,SRI LANKA
4265,GALLE,21/07/2013,26.3,28.5,24.1,1.0,1008.5 Hpa,304º(NW),19,7/8,,SRI LANKA
4266,HAMBANTOTA,21/07/2013,28.9,32.5,25.2,0.0,1006.5 Hpa,242º(SW),13,6/8,,SRI LANKA
4267,KANKASANTURAI,22/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
4268,JAFFNA,22/07/2013,29.4,31.5,27.3,0.0,1004.4 Hpa,-,-,7/8,,SRI LANKA
4269,MULLAITTIVU,22/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
4270,MANNAR,22/07/2013,28.4,30.4,26.3,0.0,1005.1 Hpa,229º(SW),22,6/8,,SRI LANKA
4271,VAVUNIYA,22/07/2013,29.6,34.0,25.3,0.0,1005.5 Hpa,229º(SW),9,5/8,,SRI LANKA
4272,TRINCOMALEE,22/07/2013,29.7,33.8,25.6,-,-,232º(SW),15,7/8,,SRI LANKA
4273,ANURADHAPURA,22/07/2013,29.5,33.3,25.7,0.0,1005.6 Hpa,236º(SW),9,6/8,,SRI LANKA
4274,MAHA ILLUPPALLAMA,22/07/2013,28.6,32.3,24.8,0.0,1005.8 Hpa,228º(SW),13,6/8,,SRI LANKA
4275,PUTTALAM,22/07/2013,27.9,30.4,25.3,0.0,1006.1 Hpa,226º(SW),16,6/8,,SRI LANKA
4276,BATTICALOA,22/07/2013,31.1,35.8,26.3,0.0,1004.7 Hpa,224º(SW),6,7/8,,SRI LANKA
4277,KURUNEGALA,22/07/2013,27.0,29.7,24.3,7.0,1006.5 Hpa,222º(SW),7,6/8,,SRI LANKA
4278,KANDY,22/07/2013,24.1,25.6,22.7,8.6,1007.4 Hpa,256º(W),6,7/8,,SRI LANKA
4279,COLOMBO,22/07/2013,26.7,29.1,24.3,32.2,1007.4 Hpa,229º(SW),5,7/8,,SRI LANKA
4280,RATMALANA,22/07/2013,26.9,29.8,23.9,34.2,1007.6 Hpa,252º(W),7,7/8,,SRI LANKA
4281,NUWARA ELIYA,22/07/2013,15.7,17.4,13.9,11.2,1467 m(850 Hpa),270º(W),23,8/8,,SRI LANKA
4282,POTTUVIL,22/07/2013,32.4,33.7,31.0,-,1005.2 Hpa,205º(SW),4,6/8,,SRI LANKA
4283,BANDARAWELA,22/07/2013,21.9,25.0,18.7,0.5,-,281º(W),19,7/8,,SRI LANKA
4284,BADULLA,22/07/2013,24.1,28.1,20.2,Tr,-,50º(NE),0,7/8,,SRI LANKA
4285,RATNAPURA,22/07/2013,26.4,28.9,23.8,44.9,1008.3 Hpa,341º(N),5,8/8,,SRI LANKA
